回答
女，93，独生女，我就不说我多高（身高是硬伤 ），45kg，长相一般，在长沙的北方人，本科毕业，事业单位上班，父母是普通的工薪阶级，恋爱经历比较简单，人也很简单直接，不喜欢虚的，接触久了就是逗比。要求，学历和我一样就好，身高170左右，工作稳定，有爱心，不抽烟，是个有趣的人，有上进心，有房最好，没房一起买，有责任心，然后我们一起游山玩水，发现生活中的美好呀！让我们策马奔腾共享人世繁华～ 真心找对象，玩玩那种真心承受不来另外，也希望交到在长沙的河北老乡朋友呀
不知道有没有和我一样，想结婚被自己突然冒出来的念头吓到了，突然向往岁月静好想要甜甜的恋爱96，158/56，胖吧，我也觉得。可是吃东西睡觉才能满足我廉价的快乐工作没定下，暂时糊口度日（教书）个人性格：有时候理性有时候矫情，一般女孩子叭，理性偏多！hin不强势，事情基本别人做主了，我觉得没啥特别要紧的，都没问题！偶尔会玩两把吃鸡，那个时候我可能有点暴躁。想要：干净阳光，积极向上，173左右，轻微有点颜控（偏向那种看起来很温和的），年纪90后吧不喜欢异地网恋，假如合适就见个面叭，虽然现在不在长沙，我可以去呀。我希望你来开启话题，我不是很会聊天，但是看到消息我一定会回（什么鬼强迫症）
想找到端午一起去看电影的小哥哥，再找不到就删帖了，唉。。。不算择偶吧，只想找个喜欢的人谈恋爱~98年，现居长沙某211大三净身高163，体重53，长相中上吧独生女，城镇普通家庭，父母事业单位，有退休金和社保，无家庭负担。爱好文学历史摄影素描和油画，喜欢户外活动，不宅，比较话唠，经常是朋友圈子里的引话题担当。至今为止母胎单身狗，没有恋爱经历，觉得很遗憾。想要找个小哥哥陪我一起骑行，散步，吹吹江风，一起泡图书馆自习室也很幸福，一起吃食堂也很好。应该会留在长沙工作定居，希望能找到一个人一起面对未来，一起去探索生活中很多新鲜事物，我们可以一起开心做体验派。对小哥哥的期待：96~98年，独生子，城市户口，985211本科（对湖大的小哥哥有偏爱，不造为什么~大概是因为在隔壁的感觉很暖吧 ）父母和睦，家庭成长环境温馨（因为本人父母很恩爱，家庭环境幸福，觉得子女的恋爱婚姻模式一定程度上来源于对父母的模仿），父母行政事业单位或者无经济负担，有退休金或社保。身高175及以上最好了，体重不要太胖或者太瘦就行，颜值不介意的，因为不是颜控。希望小哥哥不吸烟，不暴力，无不良嗜好，温柔阳光外向幽默一些最好，逗逼和直男可以的呀，不嫌弃哈哈哈，最好暖但是不要中央空调。不专一而且花心没责任感的小哥哥绕道哦(´-ω-`)第一次鼓足勇气想要找到喜欢的人，最后谈一次校园恋爱，不能成为恋人做朋友也好，因为觉得男女生思维不一样很奇妙，男生思考问题的方式都蛮开阔的，想要交朋友，匿了~
嗨喽，大家好！我是你们的小红娘，今天特意来湖南站，找辣妹子和辣哥哥脱单来啦！我对这样一句话深信不疑“想要的都在路上”是呢你想要的在路上呢，正在偷偷变优秀，变成你喜欢的样子。嘻嘻。嘿嘿，继续配上单身狗标志性保护图片还是先一如既往的声明一下，我是个正在探索匹配新模式的小红娘。在和众多网友的共同探讨下，我们正在不停的开发和改进单身匹配的好办法。今天是我开始红娘路程的第十二天，这十二天来，我分别走过了北京站，上海站，广州站，深圳站，江苏站，浙江站，成都站，武汉站 重庆站，还有军人特辑深感遗憾自己的影响力在知乎上的不足，现在仅有500多人关注这个活动，但毕竟这才第十二天嘛我终相信星星之火 可以燎原嘛！！！！每一个加入的小伙伴，都将为我们整个知乎群体下的单身狗组织贡献出自己的一个特殊力量 （解决自己的问题，捎带消灭了另一个人的同样问题）加油！以下為不跑題回答（copy了原回答，害羞脸）那是几天前，我在知乎上看到了一个题为“你的择偶标准是怎样的”问题看到了这样的很多很多的回答（嘿嘿，这里更新啦，变成了目前我收到的一些择偶标准，哈哈）好吧，上面都不是重点。你的择偶标准是怎样的？www.zhihu.comwww.zhihu.comwww.zhihu.com发现这个问题有着65327人的关注度，仅回答就有27255份我就在思考，为什么关注度这么高，回答数目也这么多，还可以互相“抱团取暖”的如此大的群体，为啥就不能自产自销呢？这些关注问题的人，本身不就可以自行匹配吗？于是我就大胆在该问题下，留下自己的idea没想到评论和私信我探讨这个问题的这么多笑脸最终达成以下这些共识这是很大程度上是由于缺乏有效的组织与匹配管理的原因。大家虽然发了自己的帖子但私信你的人，良莠不齐，你却只能还是大海捞针，可你在初步接触后，又不得不泄漏更多信息，你并不知道，这个人到底是诚意？还是个无聊的感情达人。最好，不仅东窗事发，你结果发现最后却是竹篮打水，徒劳无功于是在这些“乎友”的鼓励下，我开启了知乎小红娘的解决这些问题的奇幻漂流又同样是在大家的帮助之下设置了这个整个匹配活动的运营机制（仍然在时刻保持改进）运营流程与机制暂定如下每个愿意参与这个匹配活动机制的小伙伴，直接编辑短信通过私信发送给我为便于统一处理，请使用如下格式如下：基本信息：年份 身高 体重 所在地 职业 身份 爱好 性格 收入水准 学历（其他等现实因素）以及自己的个性需求对对方的期待：年份 身高 体重 所在地 职业 身份 爱好 性格 收入水准 学历等最后，在附一张生活照个（我们将坚决保证信息不会发生外漏现象）匹配流程：我们将登记你的个人信息录入我们的匹配库，每隔一段时间会对条件符合互满足的一对小哥哥，小姐姐发送初步匹配消息，进行部分对方信息提示，同时进行初步意向询问，如果发展顺利，再介绍你们二人认识呢目前参与活动人员现状在我们接受到匹配小伙伴当中，百分之五十以上是本科以上学历，工作多以IT与金融业和国企员工为主！以及少部分个体从业者（创业），此外由于开通站点的时间不同，以地区分布的小伙伴数目大致也是按照站点的开通早晚而成阶梯化差异。另外有趣的是，有着占比近一成的超富（二代）和超学历（博士）人群。在年龄上，以88～98为主要人群。另外可以确定的是，我们将持续开通各类站点，接受全知乎的小伙伴参与匹配呢！嗯呢，目前的状况就是这样。已打码处理！以下为目前活动其他问题累积解答遇到了很多提出改进意见的优秀小伙伴，先在这里特意留出最佳版面进行衷诚的感谢呢！并对集中反映的问题进行解答如下：一是：我怎么相信你们匹配活动能够提供单身小哥哥小姐姐的质量？答：不好意思，真的遗憾。我们不是，今后也不可能，以牺牲公开优秀小伙伴的信息来博取眼球，从而增加参加活动的人数。所以这一类伙伴，就别互相耽误彼此时间了。二是：匹配的时间，我怎么知道你到底什么时候能够给我匹配到另一半？答：本活动只是个线上匹配，不是发男女朋友！简单说就是你们互相提出需求，当需求刚好互补时，我们才会联系对方进行匹配，也防止小伙伴被某些。。骚扰。所以如果上来就催的话，不好意思，本活动庙小，伺候不了！敲重点！！！！！！！！！！！！！！！！！！！！！！！！开始线三是：说好的线上活动匹配，为啥还又开始收费了呢？答：是的，很抱歉。我们现在就是开始收费拉，这个费用我们叫做“活动门槛费”，一是数目虽低，但可起到基础得筛选作用。二是，也可以缓解一下运营成本的问题，希望各位小哥哥小姐姐能够理解！第二次补充，活动门槛费的具体数目（在我想法里有具体截图哦），出于考虑各类人员筛选门槛的不同，提出了门槛费自由付费三种选项。同时受制于优秀单身资源的匹配额度问题，提出了由个人的经济水平，自行（敲重点）选择数目的门槛方案，在规避掉“情感玩家”的基础上，进一步进行人群细分。希望小哥哥小姐姐们能够理解呢。敲重点！！！！！！！！！！！！！！！！！！！！！！！！收回线四是：如果能够匹配，匹配的大致人群质量是在什么层次呢？答：为了防止信息泄漏，我进行了打码处理。目前，我们接受到匹配人当中，一半以上是本科以上学历，工作多以IT与金融业为主！以及其他事业型单位，偶尔遇到富二代与top2的博士。嗯呢，目前的状况就是这样。五是：在此总结声明一下由于主要是业余活动，不能保证二十四小时时刻在线，所以小哥哥小姐姐们如果有意的话，请直接编辑信息私发给我格式如下：基本信息：年份 身高 体重 所在地 职业 身份 爱好 性格 收入水准 学历（其他等现实因素）以及自己的个性需求对对方的期待：年份 身高 体重 所在地 职业 身份 爱好 性格 收入水准 学历等最好再附一张生活照暂时就是这些啦
我湖南的，可惜不在湖南……
来碰下运气~95年男生，长沙土著，有房无车（出门都是滴滴，自己开车太麻烦）。学历一般本科，会计专业，有ACCA证书（英国特许公认会计师）、CFA（美国特许金融分析师）过了一级。身高179体重68，还在减肥，目标是历史最低体重60。喜欢看书看小说（文学类小说），打游戏（3A，不玩网游手游）。室外活动就喜欢吃美食（人送外号长沙市人肉大众点评）、爬山和公路车。电影美剧也看得很多。工作三年了，在培训机构当讲师，经常出差。一个月看课时多少到手15-25K，不用坐班，时间上很自由，一般周末上课工作日家里躺着。父母是事业单位和国企，没有养老压力。今年打算考个中南的计算机硕士，以后应该还是在长沙发展。初中高中都有过恋爱经历，工作之后谈过一次，一共大概三四次。现在找不到对象觉得是自己太宅，加上工作经常一个人出差，也没法认识什么人。我性格佛、宅、脾气很好、内向。没有抽烟喝酒去酒吧等嗜好。比较喜欢小巧型，长得乖的女生。身高155-170都可以接受。学历本科，94-98年为佳（小学跳过级，同学都是94年的）。性格上喜欢比较搞笑的，如果是那种很搞笑的女生基本上所有外在条件我都可以自动忽略哈哈哈。如果已经工作了有份正式工作就行啦，很喜欢看书的话可以加个分。其实我挺佛系的，不急着结婚然而还挺想谈恋爱的。所以就来试试啦，万一碰到合适的那就赚了~
再次感谢大家的关注和祝福，马上又要放假啦，突然闲下来的时候总是最害怕落单的，还好粽子节有各种好吃的可以抚平这个雨季的不安，哈哈，祝大家端午安康！评论区里有个探讨的问题，大意是，为什么没有在身边认识的人里找到合适的，至今未婚？我觉得是个好问题，认真回复的过程中也重新审视了一遍自己的内心，把这个答案贴出来一下：应该还是性格使然吧，并不算第一眼美女，也不是有钱人，只是一个对自己稍微有点要求和追求的普通菇凉。托工作的福，认识的人确实还蛮多的，我的性格算是比较容易跟别人自来熟的，人缘也还算不错，但是私下很多时候还是喜欢自己一个人待着，感觉会比较自在，平时不爱出去瞎玩，身边大部分是已婚人士，对非男友的异性会自动划清界限，不喜欢麻烦别人，也不喜欢别人麻烦自己。上学的时候乖乖读书，工作后不想谈办公室恋情，也不想跟客户扯上关系把纯粹的商业合作搞复杂了，这么一来，在生活里接触到的人未婚单身男青年其实就很有限了，而我也不会无病呻吟天天逢人就吐苦水或者无聊八卦让人给我介绍对象，大部分时候，生活该怎么过还是怎么过，朋友圈呈现出来的状态应该也还算积极向上，偶尔晒晒侄子外甥什么的，不了解情况的朋友可能会问，哇，你的小孩都这么大啦，哈哈～作为一个长沙移民，七大姑八大姨都不在身边，没人催婚也没人介绍，等到自己觉得各方面都差不多了，才突然有了“越过山丘，才发现无人等候”的顿悟，年龄却成了一个尴尬的数字，虽然我个人并不觉得年龄是个坎，但一旦进入婚恋市场，你不挑，别人也会挑你，感性的东西多数时候会被理性所取代，而且未婚的大龄青年里，总有点什么说不上来的怪毛病，比方说，智商很高情商基本为零的人，你会觉得毫无生活情趣可言算了吧算了吧；三十来岁，一事无成，要啥没啥的，还自甘平凡没点斗志和生活的激情了，这让人怎么想好，难道父母这么多年的栽培和自己的努力就是为了在这样的婚姻里将就么？那还不如自己一个人还潇洒些…以上只是虚拟举例，并不是说我生活里某个具体的人，但在没有感情基础和没有深入了解一个人的灵魂时，大概别人也是这样在自己的认知里通过自己的言行举止评判我的吧，虽然每个人都清楚地知道人都有多面性，说起来真是残酷的现实。或许正是因为对自己和生活的真相了解得越来越多，越是不甘心随便找个人为了结婚而结婚吧。始终是相信爱情的，只是真的不容易遇到，也或者说，很难在茫茫人海中，一眼认出那个愿意和你一起坚守的人吧。谢谢你的探讨，让我重新审视了一遍自己的内心，也祝你幸福|•'-'•) ✧～～～一条来自端午节的分割线～～～蟹蟹大家！留言和私信我都有看，只是最近几天工作上琐事比较多，可能没办法及时一一回复，谢谢大家对我的关注和鼓励，各位的祝福我也收到啦（๑✧∀✧๑）☀觉得我们有可能接触一下的朋友，希望私信的时候可以主动做下自我介绍，当然越详细越有个人特色越好，不然我也不知道怎么“认识一下”，毕竟我们大部分人在知乎上都是走走看看，留下的个人痕迹不是很多，彼此也不是在生活里打过交道的人，可能换个昵称换个头像我们就分不清谁是谁啦！我都鼓起勇气搞推销了，拜托男生落落大方一点啦，给对方一个机会也是给自己一个机会是吧╮(￣▽￣)╭如果纯粹是觉得志同道合想交个朋友而不是找女朋友那样的，那告诉我一声就好啦，没关系的，知乎上优秀的人太多啦，透过你们我看到了更广阔的世界，也清楚地知道自己还有太多需要学习的，谢谢你们愿意和我做朋友～～～～一条来自儿童节的分割线～～～搭个车试试运气吧～哈哈～身边应该有不少人玩知乎，认出来了拜托对我温柔一点，顺便把你们认识的单身未婚男青年介绍给我认识下呀！28岁一眨眼溜走啦，过了生日，对自己在而立之年希望达成的状态似乎更加明确和具体了。希望能够早点遇到自己可以携手一生的人，一起去经历风雨人生，一起去感受成长快乐吧！关于自己：老家怀化，1990年生人，属马，身高160cm，体重52kg，身体健康匀称，无家族遗传病。本科学历，正在攻读湖大MBA，大学毕业后在湖南日报社做了两年记者，2014年开始进入互联网领域创业，目前在从事新媒体运营和幼儿早期教育相关的工作，考虑到未来三五年会更加注重小家庭的组建和对子女的教育，这两年在工作和生活间不断平衡，平时不算太忙，下半年在工作上可能会做些调整。兴趣爱好：喜欢看书也喜欢买书，对家最初的设想，就是有一面大大的落地书墙；喜欢花花草草，所以家里总有绿植和各种花花的影子；喜欢喝茶，慢慢置备了不少茶器自己没事的时候就点着香不慌不急地品；心情好的时候喜欢下厨犒劳自己，所以各种厨房用品一应俱全；喜欢狗狗，养过一只聪明无比的边牧；喜欢抓娃娃，所以家里好多好多从电玩城抱回来的大大小小的战利品；喜欢运动，所以目之所及总有给予自己能量的运动器具和户外装备；喜欢旅行和在路上的感觉，国内应该只有大西北没去过了，喜欢海岛，喜欢自然风光。爱看美剧，最近在学尤克里里，注重生活仪式感。经济状况：在长沙已购140平双地铁口房，有房贷，无其他外债，综合收入不低于15W，够养房和自己，有购车计划，但今年因为工作性质的原因基本不会用到车，所以没着急买，要用车的话家里也有代步车。（评论区有杠精纠结房子的问题，抱歉，不是所有女孩都会等着跟男生结婚的时候凑钱买房。房子想买就买了，可自住可投资，要说考虑的话也是考虑自己本身的经济能力和购房政策因素，跟我是不是结婚另一半是不是有房没啥关系，房子买了几年了，我自己开心就好！另一半对我来说是锦上添花不是雪中送炭，我所有的生活抉择都是在自己能承受的范围内做的最适合自己的选择，不会去攀权附贵，也不想因为婚姻降低自己的生活品质。）关于原生家庭：原生家庭和睦温馨，父母感情很好，身体健康无负担，哥哥姐姐都已婚也都有孩子啦。全家都是不玩游戏、不抽烟、不打牌、不打麻将、不嚼槟榔、不泡吧的人。对对方的期待：在长工作，已在长购房或定居，有车，不接受异地或先谈恋爱再考虑是否回长，38岁以内，未婚，身高172+，身体健康不油腻，本科及以上学历，年收入不低于15W，非单亲家庭，有健康的生活方式和兴趣爱好，感情经历和朋友圈子不复杂，有担当，懂得照顾人，不抠门，不沉迷于游戏，懂得与异性交往的边界，自律，对感情负责。PS：有知友私信问我说为什么对另一半年龄设定在38以内而不是30左右……哈哈哈，可能是害怕限制得太死了没人理我吧，毕竟很多同龄男生目光都放在小仙女身上，我本身对年龄没什么概念，思想成熟一些就可以了，比我大比我小都行，总之身高比我高就是了。条件也并不是完全得对号入座，只是把我自己的情况和期待说出来，可以免去一些不必要的互相试探和尴尬发问吧，毕竟是谈婚论嫁的年纪了，基本的物质基础彼此都还是会看的，但我也知道，其实说那么多要求，真遇到对的人了，什么条条框框都是白搭，在感情面前还是会跟随心的感觉走的。我也只是普通人家的普通女孩，不会奢望遥不可及的未来，更期待势均力敌、彼此欣赏、互相促进、共同成长的感情。希望男生可以主动些，私信或者加好友的话可以以诚相待，欢迎高质量的沟通和探讨，别一开口聊天就跟调查户口一样，朋友圈一根横线或者三天可见的希望能够敞开心扉，毕竟奔着交友来的，至少让彼此有个互相了解的渠道吧。如果感觉不错的话，可以约着到线下多接触，一起坐坐聊聊天什么的，毕竟面对面的沟通才是真切而有温度的，也希望你是抱着对感情负责、对有对方参与的未来有所期待的态度来和我接触的。双方情投意合的话，咱就认真考虑在今年或者明年修成正果，不合适的话，就不纠结不去耗费彼此宝贵的时间精力，谢啦！每一本打开的书，都是漫漫长夜。愿有人问你粥可温，有人与你共黄昏。
更新更新：说什么好呢，总之感谢知乎，哈哈我找到了世界上最可爱的树袋熊，最近的生活有点甜，微醺。也祝各位能收获甜甜的爱情，你在寻找爱情，爱情也在等你哦
感谢知乎。原答案自我介绍：94年处女座，163cm，52kg，身材较好，长相如图。坐标长沙，学历港科硕士，去年从香港读研回来目前在一家央企管理岗工作了，工资加副业年收入税后15w左右，父母为非长沙普通公务员，独生女，刚回长沙还无购房资格，明年会购买。平时喜欢运动跳舞健身打打游戏，历史不好但爱好历史，方向感和逻辑性强，所以崇拜理科思维很强但人文历史也很好的男生，同时爱好尝试一切新鲜事物，希望能有一个有趣的人一起分享世间各种美好。要求：172cm以上，88-94年均可，坐标长沙（最好是长株潭本地人因为对长沙话很感兴趣哈哈哈）。我的家庭关系比较简单，没有太多亲戚，所以希望对方是独生子，家庭圆满，父母有稳定工作（最好也是公务员），父母不是体制内的话，我爸妈可能会希望你是体制内（如果你是省x厅公务员的话可能会获得我爸妈疯狂打call对于上一辈人无奈摊手(｡ ́︿ ̀｡)）。当然当然，优秀的方式不限于这一种，有其他闪光点请尽管告诉我！外貌希望能白净一点（如果白到发光可以忽略部分条件hhh），最好温柔，对温柔的男生没有抵抗力。希望男生本人要有自己的想法，学历本一以上（有留学背景会有更多共同话题，没有也没关系）重点是凡事能好好沟通讲道理，不喜欢逃避问题或者冷暴力。最后车房无所谓，自己有，目前收入也无所谓，但是希望能有上进心，责任感。希望符合条件的男生按学历，身高，体重，工作情况，年收入，家庭情况，父母工作来私信～
本人男，91年，身高170，体重115。坐标长沙，老家益阳，本科毕业于武汉华科，从事于长沙一国企IT，月薪9000+。家庭和睦，家人很好相处。在长沙暂无房无车。性格温和有耐心，为人善良，待人真诚，处事负责，坚持原则。热爱生活以及喜欢大自然，保持有一颗对世界的好奇心。不抽烟、不嚼槟榔，不酗酒。休闲时间看书、影视、动漫，推理、科幻、玄幻、武侠、热血、文艺类都有所涉猎，最爱的作家是三毛。喜欢看话剧、舞剧，钟爱古典舞。去到一个城市，会去当地的博物馆，如果有山也会去挑战。常进行的运动是游泳，偶尔会滑下板。标准：在长沙发展，年龄在91-94，身高155-165，颜值在一定的审美区间。学历本科，有稳定工作。希望你善良、真诚，人品好，三观正。因为我经常去影院看一些小众文艺类的电影，希望你能乐意一起，当然我也会乐意陪你一起逛街。如果你爱笑的话就更好了。----------------------------------------------------------------------------------------------还想掌握的技能有滑雪、滑翔伞以及骑马，有兴趣的朋友可以约伴一起去。欢迎约剧、约展。
